null,null,m=3,m=3,m=3,m=3,m=4,m=4,m=4,m=4,m=5,m=5,m=5,m=5,m=6,m=6,m=6,m=6,m=6,m=7,m=7,m=7,m=7,m=7,m=7,m=8,m=8,m=8,m=8,m=8,m=8,m=8,m=9,m=9,m=9,m=9,m=9,m=9,m=9,m=9,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12
null,null,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=4,r=0,r=1,r=2,r=3,r=4,r=5,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10
n=4,p=1, , , , , , , , , , , , , , ,213140, , , , ,1141255, , , , , ,1414472, , , , , , ,363872, , , , , , , ,55281, , , , , , , , ,7210, , , , , , , , , ,2059, , , , , , , , 
n=4,p=0, , , , , , , , , , , , , , ,2369,0,0, , ,12717,4312,0,0, , ,196605,25010,2897,0,0, , ,230820,49398,11844,246,0,0, , ,159050,53982,71856,407,65,0,0, , ,206193,20162,10948,1707,300,14,0,0, , ,29541,45957,2914,479,1020,6,0,0,0
n=3,p=3, , , , ,9078626, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=3,p=2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=3,p=1, , , , , , , , , , , , , , ,3064049, , , , ,2208270, , , , , ,119489, , , , , , ,37885, , , , , , , ,10356, , , , , , , , ,1485, , , , , , , , , ,97, , , , , , , , 
n=3,p=0, , , , , , , , , , , , , , ,247491,0,0, , ,164805,769357,0,0, , ,1226236,107982,121664,0,0, , ,355438,501879,64492,266793,0,0, , ,207051,39543,136804,3765,6011,0,0, , ,42221,26071,5415,19179,7170,99777,0,0, , ,19852,2854,2547,436,1786,55,171,0,0
n=2,p=3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=2,p=2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=2,p=1, , , , , , , , , , ,10736883, , , , , , , , ,469952, , , , , , , , , , , , ,6710, , , , , , , , , , , , , , , , ,80, , , , , , , , , , , , , , , , , , 
n=2,p=0, , , , , , , , , , , , , , ,0,4180315,0, , ,969694,0,1674649,0, , ,201627,1469224,0,1556083,0, , ,44112,36653,87773,0,260090,0, , ,1222386,7897,17622,253982,0,518483,0, , ,19938,578151,1525,1048,2188,0,74563,0, , ,866,806,3328,80,141,10105,0,227458,0
n=1,p=3, , , ,1103851, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=1,p=2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=1,p=1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=1,p=0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
