 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,282, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,4, ,0,0,0,0,0,0,0,0,10, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,3998,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,22,0,0, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,206, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,6,0,0, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,294,0,0,0,0,0,0,1,2,0,0,0, , ,0,0,0,0,1,0,0,0,0,0, , 
 , , , , , , , , , , , , , , , , , , , ,0, ,0, ,2, ,0,0,0,2,33,25,0,0,0,0,0,47,4,6,0,419,0,0,0,1,38,14,0,4,0,0, ,0,0,7,55,20,5,0,0,0,0, ,0,0,1,73,10,0,0,0,0, , , 
 , , , , , , , , , , , , , ,0, ,36, ,32,0,0,8,71,391,198,0,0,8,370,2423,160,146,9,45200,1,383,1388,987,555,10,39,0,0,0,142,2630,645,106,1111,0,0,0,0,8,127,2788,795,73,4,0,0,0, , ,0,167,3373,4358,17,0,0,0,0,0, , 
 , , , , , , , , ,166, ,623, ,30,5891,8040,5804,4910,5354,47,25763,21037,49444,1755,882,905,883,78270,64534,15755,8087,166,830,8,1737,113694,44582,11258,973,5989,0,0,0,9481,131544,39831,10033,218,2,0,0,0, ,7408,199096,30009,13035,70,0,0,0,0,0, ,4341,245836,27905,594,4,0,0,0,0, , , 
 , , , , , , ,2002209,509853,1348258,136886,159654,589991,3208470,2331137,1032439,839034,21974,10713,1478568,1278529,1362606,130961,64801,644,506,2503467,1899480,583784,98378,6463,40731,0,6,4586029,1183788,381192,67091,2715,45,1360,0,0,6521929,1481476,116442,31884,5222,1,0,0,0,0,10891574,907029,155758,1194,34,982,0,0,0, , ,14767243,751112,24984,7305,1,4,0,0,0,0, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2204, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,2, , , 
